Seconds
1       26        1
2       15        1
3      108        1
4       62        1
5      125        1
6        7        1
7        6        1
8       81        1
9      121        1
10       12        1
11      142        1
12       49        1
13       65        1
14       28        1
15      108        1
16       98        1
17      576        1
18      123        1
19       42        1
20      122        1
21      315        1
22       55        1
23      232        1
24       77        1
25      423        1
26      169        1
27       21        1
28     1048        1
29      499        1
30       27        1
31       93        1
32       18        1
33       15        1
34       26        1
35      217        1
36        0        1
37      217        1
38       49        1
39      387        1
40      320        1
41       89        1
42      300        1
43      438        1
44      261        1
45      167        1
46      214        1
